k,k_n,mod,mu,int_conn,valid,year,met,n_valid_solutions,n_solutions
8,0.0898876404494382,0.5141878946592751,0.14814814814814814,1,TRUE,2015,LV,1,1
8,0.0898876404494382,0.5147249713748031,0.09595959595959595,1,TRUE,2015,LP,1,1
8,0.0898876404494382,0.5162072464261016,0.12457912457912458,1,TRUE,2015,IM,1,1
14,0.15730337078651685,0.4964842022922829,0.11447811447811448,1,TRUE,2015,WT,1,1
14,0.08139534883720931,0.6900158792537708,0.15479876160990713,1,TRUE,2016,LV,1,1
16,0.09302325581395349,0.6800362315367732,0.17647058823529413,1,TRUE,2016,LP,2,2
15,0.0872093023255814,0.686022103154444,0.1609907120743034,1,TRUE,2016,LP,2,2
18,0.10465116279069768,0.6733868605831339,0.1867905056759546,1,TRUE,2016,IM,1,1
26,0.1511627906976744,0.6432455661097746,0.21878224974200206,1,TRUE,2016,WT,1,1
13,0.055793991416309016,0.6607143188763934,0.2179386309992132,1,TRUE,2017,LV,2,2
13,0.055793991416309016,0.6616583335448339,0.2155782848151062,1,TRUE,2017,LV,2,2
23,0.09871244635193133,0.6296970920015029,0.2997639653815893,1,TRUE,2017,LP,8,8
22,0.0944206008583691,0.6371130236263658,0.2879622344610543,1,TRUE,2017,LP,8,8
22,0.0944206008583691,0.6336130505539972,0.2950432730133753,1,TRUE,2017,LP,8,8
24,0.10300429184549356,0.6276772101240466,0.3036978756884343,1,TRUE,2017,LP,8,8
21,0.09012875536480687,0.6410289821788602,0.2832415420928403,1,TRUE,2017,LP,8,8
23,0.09871244635193133,0.6315931686765409,0.2989771833202203,1,TRUE,2017,LP,8,8
22,0.0944206008583691,0.6376843846355268,0.2863886703383163,1,TRUE,2017,LP,8,8
23,0.09871244635193133,0.6343243114418908,0.29189614476789927,1,TRUE,2017,LP,8,8
26,0.11158798283261803,0.6313588673309642,0.3044846577498033,1,TRUE,2017,IM,4,4
25,0.1072961373390558,0.6336275976652813,0.3013375295043273,1,TRUE,2017,IM,4,4
25,0.1072961373390558,0.6348377935189212,0.3005507474429583,1,TRUE,2017,IM,4,4
24,0.10300429184549356,0.637106523853239,0.2974036191974823,1,TRUE,2017,IM,4,4
55,0.23605150214592274,0.5653942174304107,0.37922895357985836,1,TRUE,2017,WT,1,1
12,0.042704626334519574,0.5895840483916903,0.2194668319900806,1,TRUE,2018,LV,3,3
12,0.042704626334519574,0.5899307355879787,0.21698698078115314,1,TRUE,2018,LV,3,3
11,0.03914590747330961,0.5235764589400519,0.20644761314321142,1,TRUE,2018,LV,3,3
23,0.08185053380782918,0.6077697520417839,0.30564166150030997,1,TRUE,2018,LP,21,21
23,0.08185053380782918,0.6035337879727216,0.3031618102913825,1,TRUE,2018,LP,21,21
22,0.07829181494661921,0.6112696784380164,0.3019218846869188,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.5981086330108475,0.3236205827650341,1,TRUE,2018,LP,21,21
22,0.07829181494661921,0.6070337143689541,0.2994420334779913,1,TRUE,2018,LP,21,21
23,0.08185053380782918,0.6016085594070801,0.3199008059516429,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.5997440587538708,0.30936143831370116,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.6092614294351265,0.3106013639181649,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.6039800228229331,0.31184128952262863,1,TRUE,2018,LP,21,21
25,0.08896797153024912,0.595847094803574,0.328580285182889,1,TRUE,2018,LP,21,21
22,0.07829181494661921,0.6056955863491339,0.31308121512709236,1,TRUE,2018,LP,21,21
23,0.08185053380782918,0.6074799492191657,0.30812151270923743,1,TRUE,2018,LP,21,21
21,0.07473309608540925,0.6055985369954057,0.2944823310601364,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.6067723537331714,0.30812151270923743,1,TRUE,2018,LP,21,21
22,0.07829181494661921,0.6118567789838373,0.29882207067575944,1,TRUE,2018,LP,21,21
21,0.07473309608540925,0.6111207413110078,0.2926224426534408,1,TRUE,2018,LP,21,21
25,0.08896797153024912,0.5943189037919967,0.32982021078735274,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.5978188301882293,0.32610043397396155,1,TRUE,2018,LP,21,21
24,0.08540925266903915,0.6031494340965704,0.32052076875387475,1,TRUE,2018,LP,21,21
23,0.08185053380782918,0.6099332800106388,0.3031618102913825,1,TRUE,2018,LP,21,21
22,0.07829181494661921,0.6109306783192512,0.30068195908245504,1,TRUE,2018,LP,21,21
25,0.08896797153024912,0.5991900126413987,0.32052076875387475,1,TRUE,2018,IM,4,4
24,0.08540925266903915,0.6020140527464198,0.3174209547427154,1,TRUE,2018,IM,4,4
25,0.08896797153024912,0.6019929132832316,0.3267203967761934,1,TRUE,2018,IM,4,4
24,0.08540925266903915,0.6004116814367455,0.31866088034717915,1,TRUE,2018,IM,4,4
69,0.24555160142348753,0.5407305567865559,0.402975821450713,1,TRUE,2018,WT,1,1
9,0.02903225806451613,0.5257772036505904,0.2234141791044776,1,TRUE,2019,LV,2,2
8,0.025806451612903226,0.5209400757406994,0.21735074626865672,1,TRUE,2019,LV,2,2
23,0.07419354838709677,0.5863508367676543,0.3381529850746269,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5851792445770213,0.33488805970149255,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5886063502450434,0.3358208955223881,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.6034678737260526,0.30923507462686567,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5865750175776901,0.33348880597014924,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.6054992063934059,0.31156716417910446,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.587210577244375,0.33722014925373134,1,TRUE,2019,LP,34,35
23,0.07419354838709677,0.5843195041003008,0.3358208955223881,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5852462486425148,0.33348880597014924,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6064259509356205,0.30923507462686567,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6043276142027735,0.30830223880597013,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6043946182682669,0.3069029850746269,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6077547198707953,0.30923507462686567,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6063589468701268,0.310634328358209,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.5894660907217641,0.33488805970149255,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.6052543587449877,0.30597014925373134,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.5875017621199042,0.33115671641791045,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.605723387203442,0.3069029850746269,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.6086144603475162,0.30830223880597013,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.6066501317456561,0.3045708955223881,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.5895330947872577,0.33348880597014924,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.6039682287605815,0.30830223880597013,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.5888577242634775,0.33348880597014924,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6050728168857205,0.31296641791044777,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5872775813098685,0.3358208955223881,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.6012853468200047,0.30783582089552236,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.5882221645967921,0.32975746268656714,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.5892640995697817,0.3283582089552239,1,TRUE,2019,LP,34,35
21,0.06774193548387097,0.5902534972641459,0.332089552238806,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.6054625499484854,0.3069029850746269,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5879979837867564,0.3344216417910448,1,TRUE,2019,LP,34,35
20,0.06451612903225806,0.6065831276801626,0.30597014925373134,1,TRUE,2019,LP,34,35
23,0.07419354838709677,0.6019575629316104,0.3162313432835821,1,TRUE,2019,LP,34,35
22,0.07096774193548387,0.5832921446870128,0.3381529850746269,2,FALSE,2019,LP,34,35
21,0.06774193548387097,0.602571476804411,0.30550373134328357,1,TRUE,2019,LP,34,35
23,0.07419354838709677,0.5768378910600913,0.34421641791044777,1,TRUE,2019,IM,2,2
24,0.07741935483870968,0.5751001362706057,0.3460820895522388,1,TRUE,2019,IM,2,2
55,0.1774193548387097,0.5289463001573295,0.41138059701492535,1,TRUE,2019,WT,1,1
11,0.03459119496855346,0.6076850749616134,0.21023181454836132,1,TRUE,2020,LV,5,5
11,0.03459119496855346,0.6189608664786795,0.1938449240607514,1,TRUE,2020,LV,5,5
10,0.031446540880503145,0.6184186144290004,0.18305355715427657,1,TRUE,2020,LV,5,5
10,0.031446540880503145,0.6053631914612195,0.20183852917665868,1,TRUE,2020,LV,5,5
10,0.031446540880503145,0.6172732477487235,0.1906474820143885,1,TRUE,2020,LV,5,5
21,0.0660377358490566,0.6083757294723771,0.3061550759392486,1,TRUE,2020,LP,16,16
21,0.0660377358490566,0.6074183818412895,0.3073541167066347,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.5944295722494746,0.2961630695443645,1,TRUE,2020,LP,16,16
21,0.0660377358490566,0.6193017608295458,0.2917665867306155,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.6107019260690569,0.3025579536370903,1,TRUE,2020,LP,16,16
21,0.0660377358490566,0.6065343568470564,0.3085531574740208,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.6053556036066431,0.28177458033573144,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.5925881996241538,0.29856115107913667,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.6077702186771765,0.3053557154276579,1,TRUE,2020,LP,16,16
21,0.0660377358490566,0.6068842767512609,0.30815347721822545,1,TRUE,2020,LP,16,16
19,0.059748427672955975,0.6076818002033225,0.27817745803357313,1,TRUE,2020,LP,16,16
19,0.059748427672955975,0.596755768846154,0.29256594724220625,1,TRUE,2020,LP,16,16
19,0.059748427672955975,0.5938240614542738,0.29536370903277376,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.6080522472509602,0.3041566746602718,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.5929381195283581,0.2981614708233413,1,TRUE,2020,LP,16,16
20,0.06289308176100629,0.5934722246183869,0.2973621103117506,1,TRUE,2020,LP,16,16
23,0.07232704402515723,0.6038975374456629,0.3149480415667466,1,TRUE,2020,IM,3,3
23,0.07232704402515723,0.6029401898145753,0.3161470823341327,1,TRUE,2020,IM,3,3
23,0.07232704402515723,0.602056164820342,0.3173461231015188,1,TRUE,2020,IM,3,3
91,0.2861635220125786,0.4886917803886386,0.4460431654676259,1,TRUE,2020,WT,1,1
13,0.034482758620689655,0.6208366995798249,0.20143393649709798,1,TRUE,2021,LV,5,5
13,0.034482758620689655,0.6184603267428145,0.19767838852850803,1,TRUE,2021,LV,5,5
12,0.03183023872679045,0.6139516642944125,0.19426425401160805,1,TRUE,2021,LV,5,5
13,0.034482758620689655,0.606828082532768,0.19801980198019803,1,TRUE,2021,LV,5,5
13,0.034482758620689655,0.6052598419800069,0.19494708091498805,1,TRUE,2021,LV,5,5
27,0.07161803713527852,0.6010293574771354,0.3308296346876067,1,TRUE,2021,LP,9,11
26,0.06896551724137931,0.6080576488677462,0.3212700580402868,1,TRUE,2021,LP,9,11
26,0.06896551724137931,0.6012025703105975,0.3294639808808467,1,TRUE,2021,LP,9,11
26,0.06896551724137931,0.5928073429186315,0.32263571184704676,1,TRUE,2021,LP,9,11
25,0.06631299734748011,0.6082308617012088,0.3199044042335268,1,TRUE,2021,LP,9,11
24,0.0636604774535809,0.5992867384594617,0.31171048139296686,1,TRUE,2021,LP,9,11
25,0.06631299734748011,0.5922584470688503,0.3212700580402868,1,TRUE,2021,LP,9,11
26,0.06896551724137931,0.600307248793892,0.3308296346876067,2,FALSE,2021,LP,9,11
26,0.06896551724137931,0.602239749174762,0.32604984636394674,1,TRUE,2021,LP,9,11
25,0.06631299734748011,0.607335540184503,0.3212700580402868,2,FALSE,2021,LP,9,11
25,0.06631299734748011,0.6039358594975823,0.32092864458859677,1,TRUE,2021,LP,9,11
28,0.07427055702917772,0.5948790196946256,0.3397063844315466,1,TRUE,2021,IM,3,3
27,0.07161803713527852,0.5977252585691105,0.3362922499146466,1,TRUE,2021,IM,3,3
28,0.07427055702917772,0.5903158056943661,0.3420962785933766,1,TRUE,2021,IM,3,3
101,0.26790450928381965,0.47969131981068797,0.4694434960737453,1,TRUE,2021,WT,1,1
10,0.025,0.5787464842146075,0.18978837756130332,1,TRUE,2022,LV,4,4
10,0.025,0.5689319042002571,0.16493113873026538,1,TRUE,2022,LV,4,4
9,0.0225,0.5624204445480516,0.1844138394356735,1,TRUE,2022,LV,4,4
9,0.0225,0.5492277091561562,0.15854887470607995,1,TRUE,2022,LV,4,4
29,0.0725,0.5990640481966265,0.3352368155861606,1,TRUE,2022,LP,14,14
28,0.07,0.5996951885855606,0.33422908968760495,1,TRUE,2022,LP,14,14
28,0.07,0.5992236527519403,0.33389318105475313,1,TRUE,2022,LP,14,14
28,0.07,0.6041439187392221,0.3261672824991602,1,TRUE,2022,LP,14,14
28,0.07,0.5905033991990324,0.32683909976486397,1,TRUE,2022,LP,14,14
27,0.0675,0.5998547931408744,0.3328854551561975,1,TRUE,2022,LP,14,14
27,0.0675,0.5911345395879665,0.32583137386630834,1,TRUE,2022,LP,14,14
27,0.0675,0.604303523294536,0.32482364796775276,1,TRUE,2022,LP,14,14
26,0.065,0.6049346636834699,0.3238159220691972,1,TRUE,2022,LP,14,14
26,0.065,0.5962144101305621,0.316761840779308,1,TRUE,2022,LP,14,14
26,0.065,0.5949663465135064,0.31642593214645615,1,TRUE,2022,LP,14,14
27,0.0675,0.5898864759709108,0.3254954652334565,1,TRUE,2022,LP,14,14
27,0.0675,0.6047750591281562,0.32515955660060464,1,TRUE,2022,LP,14,14
27,0.0675,0.5955832697416279,0.3177695666778636,1,TRUE,2022,LP,14,14
30,0.075,0.5951015787931414,0.3453140745717165,1,TRUE,2022,IM,1,1
130,0.325,0.462171068777321,0.49042660396372184,1,TRUE,2022,WT,1,1
14,0.022257551669316374,0.6627666594146153,0.21946463393015422,1,TRUE,2023,LV,16,33
15,0.02384737678855326,0.6656956009483207,0.22318737812444603,1,TRUE,2023,LV,16,33
15,0.02384737678855326,0.6645583445662614,0.2254919340542457,1,TRUE,2023,LV,16,33
16,0.025437201907790145,0.6647356338122754,0.22602375465343025,1,TRUE,2023,LV,16,33
13,0.02066772655007949,0.6647304328249115,0.22265555752526148,2,FALSE,2023,LV,16,33
14,0.022257551669316374,0.6655183117023064,0.22265555752526148,1,TRUE,2023,LV,16,33
14,0.022257551669316374,0.6649077220709257,0.22318737812444603,2,FALSE,2023,LV,16,33
15,0.02384737678855326,0.6639477549348807,0.22602375465343025,2,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6625021161419131,0.21946463393015422,2,FALSE,2023,LV,16,33
15,0.02384737678855326,0.66180669227857,0.22230101045913844,1,TRUE,2023,LV,16,33
14,0.022257551669316374,0.6615664726567436,0.22230101045913844,2,FALSE,2023,LV,16,33
14,0.022257551669316374,0.6458213711933367,0.18170537138805176,1,TRUE,2023,LV,16,33
13,0.02066772655007949,0.6626902944641914,0.2205282751285233,1,TRUE,2023,LV,16,33
14,0.022257551669316374,0.6643181249444349,0.2254919340542457,2,FALSE,2023,LV,16,33
14,0.022257551669316374,0.6637704656888662,0.2254919340542457,2,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6599386421765002,0.21733735153341607,1,TRUE,2023,LV,16,33
14,0.022257551669316374,0.6615421490058679,0.22230101045913844,2,FALSE,2023,LV,16,33
14,0.022257551669316374,0.6628675837102058,0.22106009572770785,1,TRUE,2023,LV,16,33
14,0.022257551669316374,0.6637969577272231,0.22602375465343025,3,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6608740028285199,0.22106009572770785,1,TRUE,2023,LV,16,33
15,0.02384737678855326,0.6601517098159538,0.22442829285587662,1,TRUE,2023,LV,16,33
13,0.02066772655007949,0.6611826680725778,0.22336465165750755,2,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6409172329326769,0.18099627725580572,1,TRUE,2023,LV,16,33
13,0.02066772655007949,0.6457086150443163,0.18170537138805176,2,FALSE,2023,LV,16,33
15,0.02384737678855326,0.662147836195987,0.22389647225669207,1,TRUE,2023,LV,16,33
15,0.02384737678855326,0.6646452214820828,0.22602375465343025,2,FALSE,2023,LV,16,33
14,0.022257551669316374,0.6599140356924748,0.22389647225669207,1,TRUE,2023,LV,16,33
14,0.022257551669316374,0.6598158925895231,0.22442829285587662,2,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6455568279206347,0.18170537138805176,2,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6616347297235421,0.22336465165750755,2,FALSE,2023,LV,16,33
15,0.02384737678855326,0.664399816585845,0.22602375465343025,2,FALSE,2023,LV,16,33
13,0.02066772655007949,0.6438987028674661,0.17886899485906754,1,TRUE,2023,LV,16,33
13,0.02066772655007949,0.659106138513261,0.2201737280624003,2,FALSE,2023,LV,16,33
37,0.058823529411764705,0.6412890642468386,0.30012409147314306,1,TRUE,2023,LP,45,45
38,0.06041335453100159,0.6390935247833016,0.30349228860131183,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6416060573558602,0.2978195355433434,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.641657250155959,0.299414997340897,1,TRUE,2023,LP,45,45
38,0.06041335453100159,0.6394105178923236,0.30118773267151216,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6421684239352143,0.29835135614252795,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6391610276283677,0.3004786385392661,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6410484360882404,0.299414997340897,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6396624122380523,0.30083318560538913,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6419277957766161,0.2976422620102819,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6403410703807982,0.30101045913845065,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6402898775806994,0.299414997340897,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6388528966247038,0.30278319446906576,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6392210825338245,0.3020741003368197,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6394617106924226,0.30278319446906576,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6423144601181847,0.2976422620102819,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6399728844716774,0.30171955327069666,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6424854170442357,0.2960468002127282,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.642555088276783,0.29835135614252795,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6397787038014444,0.3004786385392661,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6424203182809427,0.2979968090764049,1,TRUE,2023,LP,45,45
34,0.05405405405405406,0.6418446899694576,0.29356497074986704,1,TRUE,2023,LP,45,45
34,0.05405405405405406,0.6413664662521442,0.2985286296755894,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6403595488132463,0.30171955327069666,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6431128509609776,0.29835135614252795,1,TRUE,2023,LP,45,45
34,0.05405405405405406,0.6453083904245143,0.2949831590143592,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6393274120851651,0.2971104414110973,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6407277347223669,0.30101045913845065,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.645257197624415,0.2933876972168055,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6427889755786461,0.29196950895231344,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.643240267294925,0.2953377060804822,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6413064113466879,0.2969331678780358,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6398666177721478,0.2967558943449743,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6404085732258639,0.2979968090764049,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6390104189761435,0.299414997340897,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6395292135374884,0.29976954440702003,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6434298440699991,0.2960468002127282,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.63767107830861125,0.30012409147314306,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6413565670919043,0.2971104414110973,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.64051476136063,0.2967558943449743,1,TRUE,2023,LP,45,45
33,0.05246422893481717,0.6465047432219115,0.29090586775394434,1,TRUE,2023,LP,45,45
37,0.058823529411764705,0.6406765419222681,0.299414997340897,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6415741443488006,0.2953377060804822,1,TRUE,2023,LP,45,45
36,0.057233704292527825,0.6406580634898199,0.2987059032086509,1,TRUE,2023,LP,45,45
35,0.05564387917329094,0.6412734612847458,0.2930331501506825,1,TRUE,2023,LP,45,45
40,0.06359300476947535,0.635377741427084,0.3137741535188796,1,TRUE,2023,IM,6,6
39,0.06200317965023847,0.6350902101044908,0.3134196064527566,1,TRUE,2023,IM,6,6
39,0.06200317965023847,0.6366813822659405,0.3123559652543875,1,TRUE,2023,IM,6,6
38,0.06041335453100159,0.6363938509433477,0.3120014181882645,1,TRUE,2023,IM,6,6
38,0.06041335453100159,0.636766310775619,0.3068604857294806,1,TRUE,2023,IM,6,6
39,0.06200317965023847,0.6354626699367627,0.3082786739939727,1,TRUE,2023,IM,6,6
175,0.27821939586645467,0.5498288529472212,0.40702003190923597,1,TRUE,2023,WT,1,1
16,0.02119205298013245,0.6467907682275315,0.22885572139303484,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6463598738235607,0.22885572139303484,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6455530700560216,0.2300995024875622,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6467461251111922,0.2273355444997236,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6493631762109543,0.22512437810945274,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6464781995678507,0.22747374239911552,1,TRUE,2024,LV,26,64
16,0.02119205298013245,0.6459839644599922,0.2300995024875622,1,TRUE,2024,LV,26,64
14,0.018543046357615896,0.6471220344747608,0.22609176340519624,2,FALSE,2024,LV,26,64
14,0.018543046357615896,0.6463152307072216,0.2273355444997236,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6562483766139514,0.2300995024875622,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6472850033353899,0.22622996130458817,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6530901650001941,0.2202874516307352,2,FALSE,2024,LV,26,64
15,0.019867549668874173,0.6524890155970349,0.22194582642343835,2,FALSE,2024,LV,26,64
16,0.02119205298013245,0.6566792710179218,0.2300995024875622,1,TRUE,2024,LV,26,64
15,0.019867549668874173,0.6536394424444328,0.220702045328911,2,FALSE,2024,LV,26,64
13,0.017218543046357615,0.6476162695826195,0.2234660033167496,2,FALSE,2024,LV,26,64
