"projectID";"legalBasis";"title";"uniqueProgrammePart"
"101096352";"HORIZON.2.5.2";"Energy Supply";""
"101096352";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101092339";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101092339";"HORIZON.2.4.4";"Advanced Materials";""
"101073437";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101103450";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101103450";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101135299";"HORIZON.2.5.2";"Energy Supply";""
"101135299";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101080025";"HORIZON.2.4.8";"Circular Industries";""
"101080025";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101079951";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101079951";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101096126";"HORIZON.2.5.2";"Energy Supply";""
"101096126";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101147509";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101147509";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101073357";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101119603";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101084422";"HORIZON.2.5.2";"Energy Supply";""
"101084422";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101123467";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101123467";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101096139";"HORIZON.2.5.2";"Energy Supply";""
"101096139";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069639";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069639";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101069722";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069722";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101091749";"HORIZON.2.4.1";"Manufacturing Technologies";""
"101091749";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101096803";"HORIZON.2.5.2";"Energy Supply";""
"101096803";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101138242";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101138242";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101130860";"HORIZON.4.1.5";"Fostering brain circulation of researchers and excellence initiatives";""
"101130860";"HORIZON.4.1";"Widening participation and spreading excellence";"true"
"101069820";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069820";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101147855";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101147855";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101041255";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101123330";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101123330";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101138672";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101138672";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101079963";"HORIZON.2.4.8";"Circular Industries";""
"101079963";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101123412";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101123412";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101121100";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101147781";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101147781";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101039746";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101068036";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101084066";"HORIZON.2.5.2";"Energy Supply";""
"101084066";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101077698";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101094463";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101138620";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101138620";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101138620";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101045008";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101096299";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101096299";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101096299";"HORIZON.2.5.6";"Industrial Competitiveness in Transport";""
"101083571";"HORIZON.2.5.2";"Energy Supply";""
"101083571";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101039110";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101099284";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101146291";"HORIZON.2.5.2";"Energy Supply";""
"101146291";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101040379";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101054572";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101072851";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101119852";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101138070";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101136000";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101136000";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101115506";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101046333";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046333";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101118270";"HORIZON.2.5.2";"Energy Supply";""
"101118270";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101076014";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101059479";"EURATOM2027";"Euratom Research and Training Programme (EURATOM)";"true"
"101059479";"EURATOM.1.1.1";"Nuclear safety";""
"101043617";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101119865";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101084158";"HORIZON.2.5.2";"Energy Supply";""
"101084158";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101135763";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101135763";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101040994";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101075656";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101075656";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101076649";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101054894";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101054577";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101083827";"HORIZON.2.5.2";"Energy Supply";""
"101083827";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101046297";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046297";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101108406";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101101967";"HORIZON.2.5.7";"Clean, Safe and Accessible Transport and Mobility";""
"101101967";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"190188980";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101065152";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101137792";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101156725";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101106064";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101115709";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101122231";"HORIZON.2.5.2";"Energy Supply";""
"101122231";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101078304";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101113333";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101122206";"HORIZON.2.5.2";"Energy Supply";""
"101122206";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069605";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069605";"HORIZON.2.5.1";"Climate Science and Solutions";""
"101111977";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101111977";"HORIZON.2.4.2";"Key Digital Technologies";""
"101105363";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101046307";"HORIZON.3.1.1";"The Pathfinder for Advanced Research";""
"101046307";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101108639";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101108100";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101110795";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101110423";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101098168";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101147112";"HORIZON.2.5.2";"Energy Supply";""
"101147112";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101059543";"EURATOM2027";"Euratom Research and Training Programme (EURATOM)";"true"
"101059543";"EURATOM.1.1.1";"Nuclear safety";""
"101138112";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101138112";"HORIZON.2.4.4";"Advanced Materials";""
"101069447";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101039802";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101115295";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101113260";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101093572";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101110156";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101100953";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101091682";"HORIZON.2.4.8";"Circular Industries";""
"101091682";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101106295";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101130883";"HORIZON.3.1";"The European Innovation Council (EIC)";"true"
"101135075";"HORIZON.2.4.10";"Space, including Earth Observation";""
"101135075";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070441";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101070441";"HORIZON.2.4.2";"Key Digital Technologies";""
"101103873";"HORIZON.2.5.9";"Energy Storage";""
"101103873";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101069789";"HORIZON.2.5.9";"Energy Storage";""
"101069789";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101112054";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101138646";"HORIZON.2.4.9";"Low-Carbon and Clean Industries";""
"101138646";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101064343";"HORIZON.1.2";"Marie Skłodowska-Curie Actions (MSCA)";"true"
"101075400";"HORIZON.2.5.2";"Energy Supply";""
"101075400";"HORIZON.2.5";"Climate, Energy and Mobility";"true"
"101075400";"HORIZON.2.5.3";"Energy Systems and Grids";""
"101075400";"HORIZON.2.5.4";"Buildings and Industrial Facilities in Energy Transition";""
"101097738";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101158287";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101069232";"HORIZON.1.1";"European Research Council (ERC)";"true"
"101080173";"HORIZON.2.4";"Digital, Industry and Space";"true"
"101080173";"HORIZON.2.4.2";"Key Digital Technologies";""
