"projectID";"topic";"title"
"101096352";"HORIZON-CL5-2022-D3-01-06";"Novel Agro-Photovoltaic systems"
"101092339";"HORIZON-CL4-2022-RESILIENCE-01-20";"Climate Neutral and Circular Innovative Materials Technologies Open Innovation Test Beds (IA)"
"101073437";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101103450";"HORIZON-CL5-2022-D4-01-02";"Renewable-intensive, energy positive homes"
"101135299";"HORIZON-CL5-2023-D3-01-02";"PV integration in buildings and in infrastructure"
"101080025";"HORIZON-CL4-2021-RESILIENCE-02-32";"Social and affordable housing district demonstrator (IA)"
"101079951";"HORIZON-CL5-2021-D4-02-02";"Cost-effective, sustainable multi-functional and/or prefabricated holistic renovation packages, integrating RES and including re-used and recycled materials (Built4People)"
"101096126";"HORIZON-CL5-2022-D3-01-03";"Advanced manufacturing of Integrated PV"
"101147509";"HORIZON-CL5-2023-D4-02-04";"Fast-tracking and promoting built environment construction and renovation innovation with local value chains (Built4People Partnership)"
"101073357";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101119603";"HORIZON-MSCA-2022-DN-01-01";"MSCA Doctoral Networks 2022"
"101084422";"HORIZON-CL5-2021-D3-03-07";"Stable high-performance Perovskite Photovoltaics"
"101123467";"HORIZON-CL5-2022-D4-02-01";"Designs, materials and solutions to improve resilience, preparedness & responsiveness of the built environment for climate adaptation (Built4People)"
"101096139";"HORIZON-CL5-2022-D3-01-03";"Advanced manufacturing of Integrated PV"
"101069639";"HORIZON-CL5-2021-D4-01-01";"Advanced energy performance assessment and certification"
"101069722";"HORIZON-CL5-2021-D4-01-01";"Advanced energy performance assessment and certification"
"101091749";"HORIZON-CL4-2022-TWIN-TRANSITION-01-09";"Demonstrate the use of Digital Logbook for buildings (IA)"
"101096803";"HORIZON-CL5-2022-D3-01-03";"Advanced manufacturing of Integrated PV"
"101138242";"HORIZON-CL5-2023-D4-01-01";"Innovative cost-efficient solutions for zero-emission buildings"
